ticker,fy,entry,fwd6,dd,fwd_vol,sector,score,true_fwd,fwd6_before
HRL,2024,0.8061,0.0510,0.0375,0.2209,Consumer Staples,0.0449,0.1257,0.1039
ALLE,2024,0.7795,0.0510,0.0500,0.2780,Industrials,0.0448,0.1972,0.1204
DHR,2024,0.7793,0.0510,0.0500,0.1798,Healthcare,0.0447,0.0949,0.1132
BLDR,2024,0.9175,0.0510,-0.0206,0.2942,Industrials,0.0447,-0.1031,0.1131
DPZ,2024,0.8300,0.0510,0.0220,0.2309,Consumer Discretionary,0.0445,0.0717,0.1029
DXCM,2024,0.7747,0.0510,0.0500,0.1611,Healthcare,0.0445,0.2414,0.1161
ICE,2024,0.7114,0.0852,-0.1625,0.2169,Financials,0.0443,-0.0946,0.1256
LNT,2024,0.9501,0.0510,-0.0415,0.2018,Utilities,0.0443,0.0136,0.1186
CF,2024,0.8314,0.0600,-0.0560,0.1474,Materials,0.0443,-0.0318,0.1190
CBOE,2024,0.8769,0.0510,-0.0047,0.1578,Financials,0.0443,-0.1366,0.1142
AVGO,2024,0.7986,0.0510,0.0347,0.2211,Technology,0.0442,0.0547,0.1165
ACN,2024,0.7534,0.0519,0.0500,0.1756,Technology,0.0441,-0.2351,0.1115
AMD,2024,0.8318,0.0573,-0.0378,0.0548,Technology,0.0439,0.1650,0.1129
LHX,2024,0.7252,0.0568,0.0263,0.1733,Industrials,0.0438,0.4111,0.1090
LVS,2024,0.7631,0.0544,0.0224,0.2016,Consumer Discretionary,0.0437,0.1065,0.1078
HUM,2024,0.7411,0.0566,0.0127,0.1691,Healthcare,0.0432,0.1636,0.1203
AXP,2024,0.9122,0.0503,-0.0275,0.0962,Financials,0.0432,0.3247,0.1095
EME,2024,0.7449,0.0510,0.0500,0.1240,Industrials,0.0430,0.2214,0.1174
CDW,2024,0.8404,0.0510,0.0013,0.1300,Technology,0.0430,0.0183,0.1238
JKHY,2024,0.8491,0.0510,-0.0033,0.1101,Financials,0.0430,0.0910,0.1160
DHI,2024,0.8321,0.0575,-0.0490,0.2092,Consumer Discretionary,0.0429,0.1474,0.1083
CB,2024,0.7100,0.0777,-0.1231,0.1650,Financials,0.0429,-0.0444,0.1106
IT,2024,0.8312,0.0629,-0.0943,0.2190,Technology,0.0428,0.0644,0.1183
IFF,2024,0.9041,0.0510,-0.0330,0.1825,Materials,0.0428,0.0127,0.0954
EQT,2024,0.8206,0.0510,0.0073,0.2006,Energy,0.0426,0.1406,0.1100
COO,2024,0.8103,0.0510,0.0112,0.1774,Healthcare,0.0424,0.0776,0.1082
BKR,2024,0.9235,0.0620,-0.1518,0.1643,Energy,0.0421,0.0938,0.1186
DOV,2024,0.9149,0.0510,-0.0467,0.2553,Industrials,0.0420,0.0136,0.1175
HSY,2024,0.7901,0.0512,0.0131,0.1181,Consumer Staples,0.0417,-0.0242,0.0968
HII,2024,0.9398,0.0510,-0.0625,0.0948,Industrials,0.0417,0.0457,0.1178
GM,2024,0.7187,0.0510,0.0500,0.1463,Consumer Discretionary,0.0417,0.0800,0.1154
IP,2024,0.8508,0.0510,-0.0213,0.1792,Materials,0.0413,-0.0924,0.1115
JNJ,2024,0.7798,0.0510,0.0144,0.1772,Healthcare,0.0412,0.0897,0.1170
BA,2024,0.8441,0.0510,-0.0189,0.2673,Industrials,0.0412,-0.0686,0.1055
LEN,2024,0.7498,0.0510,0.0292,0.1170,Consumer Discretionary,0.0412,0.0699,0.1064
KVUE,2024,0.8357,0.0657,-0.1386,0.1705,Consumer Staples,0.0410,0.1452,0.1137
FTNT,2024,0.8831,0.0510,-0.0414,0.1808,Technology,0.0409,0.0673,0.1286
AZO,2024,0.8801,0.0510,-0.0415,0.1118,Consumer Discretionary,0.0407,-0.0992,0.1185
INCY,2024,0.8595,0.0510,-0.0319,0.2029,Healthcare,0.0406,0.1709,0.1117
BIIB,2024,0.8757,0.0510,-0.0406,0.1737,Healthcare,0.0406,-0.0366,0.1124
ARE,2024,0.8317,0.0661,-0.1445,0.1631,Real Estate,0.0405,-0.1512,0.1048
CTAS,2024,0.8950,0.0510,-0.0517,0.1846,Industrials,0.0405,-0.1869,0.1218
ALGN,2024,0.7100,0.0604,-0.0273,0.1606,Healthcare,0.0401,0.2350,0.1154
MO,2024,0.9492,0.0510,-0.0861,0.0802,Consumer Staples,0.0398,-0.1024,0.1260
BMY,2024,0.8752,0.0510,-0.0486,0.1411,Healthcare,0.0398,0.1530,0.1220
